"id";"exerciseId";"userId";"codeUsed";"mark"
1;8;1;"int lanchonete(int x, int y){
    return 2.50;
}";1.0
2;7;1;"int somatorio(int x, int y){
    return 2;
}";0.0
3;9;1;"public class SumExercise{
    public function soma(int x, int y){
        return x + y;
    }
}";0.0
4;9;1;"public class SumExercise{
    public function soma(int x, int y){
        return x + y;
    }
}
";10.0
5;9;1;"public class SumExercise{
    public function soma(int x, int y){
        return x - y;
    }
}
";10.0
6;9;1;"public class SumExercise{
    public function soma(int x, int y){
        return x + y;
    }
}";10.0
7;9;1;"public class SumExercise{
    public function soma(int x, int y){
        return x - y;
    }
}";10.0
8;9;1;"public class SumExercise{
    public function soma(int x, int y){
        return x + y;
    }
}";10.0
9;9;1;"public class SumExercise{
    public function soma(int x, int y){
        return x + y;
    }
}
";10.0
10;9;1;"public class SumExercise{
    public function soma(int x, int y){
        return x - y;
    }
}
";10.0
11;9;1;"public class SumExercise{
    public function soma(int x, int y){
        return x + y;
    }
}";10.0
12;9;1;"public class SumExercise{
    public function soma(int x, int y){
        return x + y;
    }
}";10.0
13;9;1;"public class SumExercise{
    public function soma(int x, int y){
        return x + y;
    }
}";10.0
14;9;1;"public class SumExercise{
    public function soma(int x, int y){
        return x + y;
    }
}
";10.0
15;9;1;"public class SumExercise{
    public function soma(int x, int y){
        return x + y;
    }
}
";10.0
16;9;1;"public class SumExercise{
    public function soma(int x, int y){
        return x + y;
    }
}
";10.0
17;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
18;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
19;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
20;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
21;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
22;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
23;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
24;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
25;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
26;9;1;"";10.0
27;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
28;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
29;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
30;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
31;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
32;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
33;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
34;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
35;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x - y;
    }
}";10.0
36;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";0.0
37;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
38;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x - y;
    }
}";10.0
39;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x - y;
    }
}";0.0
40;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x - y;
    }
}";10.0
41;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x - y;
    }
}";0.0
42;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x - y;
    }
}";0.0
43;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";0.0
44;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
45;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
46;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
47;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
48;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
49;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
50;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x - y;
    }
}";10.0
51;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";10.0
52;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x - y;
    }
}";10.0
53;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x - y;
    }
}";0.0
54;9;1;"public class SumExercise{
    public int soma(int x, int y){
        return x + y;
    }
}";0.0
